repo_name,file_name,smell_code,type,level,year,file_size,loc,owner_type,language,size,base_image_full,base_image
AOSPA/android_build,AOSPA/android_build/toolsdockerDockerfile,DL3059,DL,info,2019,1216,21,Organization,Makefile,75534,ubuntu:14.04,ubuntu
AOSPA/android_build,AOSPA/android_build/toolsdockerDockerfile,DL3059,DL,info,2019,1216,21,Organization,Makefile,75534,ubuntu:14.04,ubuntu
AOSPA/android_build,AOSPA/android_build/toolsdockerDockerfile,DL3046,DL,warning,2019,1216,21,Organization,Makefile,75534,ubuntu:14.04,ubuntu
AOSPA/android_build,AOSPA/android_build/toolsdockerDockerfile,DL3025,DL,warning,2019,1216,21,Organization,Makefile,75534,ubuntu:14.04,ubuntu
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/Dockerfile,DL1000,DL,error,2019,26,1,User,Java,1825,,
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/docker-maven-pluginsrcmainresourcesDockerfile,DL1000,DL,error,2019,22,1,User,Java,1825,,
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3032,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3033,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3003,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3032,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3059,DL,info,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3047,DL,info,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3003,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3047,DL,info,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3059,DL,info,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3033,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3032,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3033,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3059,DL,info,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3003,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3047,DL,info,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3059,DL,info,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3059,DL,info,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL4006,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,DL3025,DL,warning,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
Aleks-Ya/yaal_examples,Aleks-Ya/yaal_examples/JavaLibExtDockerfile,DL3045,DL,warning,2019,501,12,User,Java,91899,openjdk:8-jdk-alpine,openjdk
