#,repo,file_path,commit_url,description,category,affected_instructions,
160,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/f705a5fe7cca764eaf091742882777059892d81d,"adapt dockerfile to a new fork, add comments for documentation","ABS,UBS,MC","FROM,RUN,RUN,WORKDIR,RUN,FROM,RUN,RUN,COPY,COPY,RUN,FROM,RUN,FROM,ENV,ENV",
161,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/d34edac9edc0842060e5896f6723c46181751ffd,update dependencies,UBS,RUN,
162,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/e94d3b0ce8c8370678b61527146667f5a1a9bf00,add missing go dependencies,ABS,RUN,
163,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/471d0ba8dbf698277bf57e17f0284b5187fa21a3,remove dependency,UBS,RUN,
164,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/8e83c6664f9bf9c08441feeec5a536809e01ff9e,add env var,ABS,ENV,
165,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/fb45e5a95d6222c86533b5cfac8c4d21f3d7e6b6,"update base image, change checkouted code","UBI,UBS","FROM,RUN",
166,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/4e56fc4c2dd372afc0d2d4af2b6cea1f30c8d7f7,concat multiple RUN commands,"UBS,RBS","RUN,RUN",
167,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/e065ce3a701fdc2ec494e6fdd2f6d77373b7b0f9,"change checkout code repo, rename repo","UBS,R",RUN,
168,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/4efe92beb777d4990fa776c0263ad00aaf109420,change repo name,"UBS,R","RUN,WORKDIR",
169,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/5280384a4dc630282c86fd2ce5454f1d45ab2e0e,"add deps, create user home dir",UBS,"RUN,RUN",
170,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/993c6e1be3c2b6204882af2bac25d98462929839,change repo name,"UBS,R",RUN,
171,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/bc6dba2bf22ea79c102bbabe04f0488c9b3d9a77,add user and user home dir,ABS,"ENV,RUN,USER",
172,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/fa2a58332a4ea69d6ec29bc8aaaf034973ab7a81,"add deps, update checkout branch",UBS,"RUN,RUN,RUN",
173,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/bcafcaceaf3abff9144f3d928103d526e4ca35b4,"add deps, logically restructure build steps",UBS,"FROM,WORKDIR,COPY,RUN,RUN,RUN,RUN",
174,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/f4a4715fdb189cd182b97622da60b6eadc04a412,concat multiple RUN commands,"RBS,UBS","RUN,RUN",
175,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/8ad80db8186f353559f8293d59d8cd3d89db6286,split build commands into build steps,"ABS,UBS","ARG,FROM,RUN,FROM,RUN,WORKDIR,COPY,RUN,FROM,ARG,RUN,RUN,FROM,MAINTAINER,RUN,COPY,COPY",
176,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/7b335283ad393e398fdd4c878e8f5254ecafd221,remove deps,RBS,"ENV,RUN",
177,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/440dd9ad6de88046d893ed9aaef2ad6f7af88462,add deps,"ABS,UBS","RUN,ENV,RUN,RUN",
178,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/340e6ad8d648818a5d4c1c9a217eea6bb226b607,remove builder step,"UBS,RBS","FROM,RUN,FROM,COPY,COPY,COPY",
179,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/5b85890a80fab9301210880827d2ab8c6a5a233d,"add deps, environment setup","UBS,ABS","RUN,COPY",
180,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/a6d52e67e7e4882091d345207d3cae070b8bda04,add builder step,"UBI,UBS,ABS","FROM,RUN,FROM,COPY,COPY,CMD",
181,oxr463/img,Dockerfile,https://github.com/oxr463/img/commit/db1d0f5a06e6069ef1a6a9b55dad54d5726d208b,add dockerfile,AD,*,
182,Panquesito7/LinkFree,Dockerfile,https://github.com/Panquesito7/LinkFree/commit/7f9dc401e490739d5758c7feccbe816a39d0dae2,add build step,ABS,RUN,
183,Panquesito7/LinkFree,Dockerfile,https://github.com/Panquesito7/LinkFree/commit/4a9fa1f4591d655fa844521ce5b01c7b541bb904,add dockerfile,AD,*,
184,Python-aryan/age-detector-1,Dockerfile,https://github.com/Python-aryan/age-detector-1/commit/5441f10ff2ca397700b0d32b4e57e458d5aeda03,add dockerfile,AD,*,
185,rwth-acis/las2peer-CitRec-Handler-Service,Dockerfile,https://github.com/rwth-acis/las2peer-CitRec-Handler-Service/commit/a474bd4ea1425db7c94002e86b7440439fff9197,remove database env var,"RBS,UBS","ENV,ENV,ENV,ENV,ENV,RUN",
186,rwth-acis/las2peer-CitRec-Handler-Service,Dockerfile,https://github.com/rwth-acis/las2peer-CitRec-Handler-Service/commit/ea9ed6ce38ed79b3bf17d5c9ac5548319d18e080,update database env var,UBS,ENV,
187,rwth-acis/las2peer-CitRec-Handler-Service,Dockerfile,https://github.com/rwth-acis/las2peer-CitRec-Handler-Service/commit/b48ee307b5c3c0fdb22946294580a368fafe03ee,add dockerfile,AD,*,
188,viaacode/openseadragon-client,Dockerfile,https://github.com/viaacode/openseadragon-client/commit/3ccb3b9e6dd3090ac19c57ca8c7a564ea2fa7ec7,add dockerfile,AD,*,
189,xzebra/notion-blog,Dockerfile,https://github.com/xzebra/notion-blog/commit/e13dd54f2bfd5dae46af8dd5c47e3c7298c40d7e,update entrypoint command,UBS,ENTRYPOINT,
190,xzebra/notion-blog,Dockerfile,https://github.com/xzebra/notion-blog/commit/57f2085f008a160e1af5c2dd19c263129850b47d,add dockerfile,AD,*,
191,neobrain/FEX,Dockerfile,https://github.com/neobrain/FEX/commit/b54385162e3cfebf2c303f993de8c7e584dcd1b8,remove dependency,UBS,"RUN,RUN",
192,neobrain/FEX,Dockerfile,https://github.com/neobrain/FEX/commit/ae569da895d6d058c08890efac93c125516c85b7,remove version pin,UBS,RUN,
193,neobrain/FEX,Dockerfile,https://github.com/neobrain/FEX/commit/d77acdf4740fe22f06bdca0beb7fa6e3b4f84a16,add dependencies,UBS,RUN,
194,neobrain/FEX,Dockerfile,https://github.com/neobrain/FEX/commit/cab317e2f0d9662722789be9ddca3a4fe95cb216,remove dependency,UBS,"RUN,RUN",
195,neobrain/FEX,Dockerfile,https://github.com/neobrain/FEX/commit/a28df9f5c18c0f910ddf32e3f1f32eaf29a85685,remove builder step library from final image,RBS,COPY,
196,neobrain/FEX,Dockerfile,https://github.com/neobrain/FEX/commit/c2b29b10d10b1158d3cc740e0ad5c28d3d1ab354,refactor Dockerfile to use intermediate builder step,"UBI,RBS,ABS","FROM,RUN,FROM,RUN,RUN,COPY,COPY",
197,neobrain/FEX,Dockerfile,https://github.com/neobrain/FEX/commit/36b12f934d0f0be20ecfcddaa15f97131496dfa3,add additional flag to build command,UBS,RUN,
198,neobrain/FEX,Dockerfile,https://github.com/neobrain/FEX/commit/2abb2a7a3d5f64464fee7c1cbce25e27b582696a,add dockerfile,AD,*,
