#,repo,file_path,commit_url,description,category,affected_instructions,
231,gggeek/phpxmlrpc,tests/ci/Dockerfile,https://github.com/gggeek/phpxmlrpc/commit/98d4ea619cef778d0cbcc706ea9a157178f90da5,update build steps (deps),UBS,RUN,
232,gggeek/phpxmlrpc,tests/ci/Dockerfile,https://github.com/gggeek/phpxmlrpc/commit/7babc0fc84e8cca70c8cf8d5349ce1dc6cba691e,add dockerfile,AD,*,
233,globocom/GloboNetworkAPI-WebUI,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/b8803fbb45e2ced9ce312dd8fc0a0b7edcd1d528,update build step,UBS,RUN,
234,globocom/GloboNetworkAPI-WebUI,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/cabf67dd7ee4488d35c9f7829dc3cab7953cd93a,update build step (concat RUN cmds) set default SHELL,UBS,"SHELL,RUN",
235,globocom/GloboNetworkAPI-WebUI,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/8157738766787f98d416304c5cb3536401e083f7,update build step (concat RUN cmds),UBS,RUN,
236,globocom/GloboNetworkAPI-WebUI,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/b3da9e0c46a8133b020416fccbdac97b88baba6c,add build step ,ABS,RUN,
237,globocom/GloboNetworkAPI-WebUI,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/63a4d3e7cbfba33bb034ff4e64d9146b16e46349,add dockerfile,AD,*,
238,Imagick/imagick,docker/testing8_0/Dockerfile,https://github.com/Imagick/imagick/commit/75523cfd023343e46ec16e943344a8c97b827cde,update build step; version bump,UBS,RUN,
239,Imagick/imagick,docker/testing8_0/Dockerfile,https://github.com/Imagick/imagick/commit/3194991eef853a399a8ebf02cc38e983b95a9017,add dockerfile,AD,*,
240,opencb/cellbase,cellbase-app/app/cloud/docker/cellbase-rest/Dockerfile,https://github.com/opencb/cellbase/commit/9b13b7bf3cde6db23e312795c45aa045b2ea7637,add comments (docs),MC,,
241,opencb/cellbase,cellbase-app/app/cloud/docker/cellbase-rest/Dockerfile,https://github.com/opencb/cellbase/commit/49a10b0b113661e3ffddd8977111e7a4f0f03250,update build step (add labels),"UBS,ML",LABEL,
242,opencb/cellbase,cellbase-app/app/cloud/docker/cellbase-rest/Dockerfile,https://github.com/opencb/cellbase/commit/9b227d90201d998ac96605fa0767a45513ffd718,"update build step (change base image naming, update labels)","UBI,UBS,ML","FROM,LABEL",
243,opencb/cellbase,cellbase-app/app/cloud/docker/cellbase-rest/Dockerfile,https://github.com/opencb/cellbase/commit/de9ecd81165181006ccf4a3a169017373a274868,update build steps,UBS,"ARG,FROM,USER,ENTRYPOINT",
244,opencb/cellbase,cellbase-app/app/cloud/docker/cellbase-rest/Dockerfile,https://github.com/opencb/cellbase/commit/745ec74fb156270f8c8fdd4592d7e33a9bae00df,remove build steps,RBS,"ARG,ENV,RUN,COPY,WORKDIR,EXPOSE",
245,opencb/cellbase,cellbase-app/app/cloud/docker/cellbase-rest/Dockerfile,https://github.com/opencb/cellbase/commit/b1515909b458dc157a3a00923f05ddeb1d6dd20e,rename dockerfile,RD,,
246,zmartzone/mod_auth_openidc,test/Dockerfile,https://github.com/zmartzone/mod_auth_openidc/commit/160a7f2ab3e610ea5b18368ee7c09c89c55bad2b,add dockerfile,AD,*,
247,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/f7ba4edb31287fb4debbb66030a131f787193cdf,update base image (version bump),UBI,FROM,
248,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/98f1fea27ef8c3d6e2250ec299aba03e501a60e8,update base image (version bump),UBI,FROM,
249,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/0096f84ee91ac9e7e2875a10e3a706d38069e8d7,update build step (expose port),UBS,EXPOSE,
