repo_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
Omstachu/naples,6,2021,594,17,User,Python,21861,python:3.9,python
One-Language/One,19,2022,1813,44,Organization,C,2273,alpine:latest,alpine
OneraHub/WhatsOpt,17,2022,3776,71,Organization,Ruby,14793,phusion/passenger-customizable:2.1.0,phusion/passenger-customizable
Ong-Research/microbiome-pipeline,4,2021,294,6,Organization,R,258,bioconductor/bioconductor_docker:RELEASE_3_13,bioconductor/bioconductor_docker
OnlyLight/Azure-DevOps-and-Terraform,0,2021,451,11,User,HCL,108,mcr.microsoft.com/dotnet/aspnet:5.0-alpine,mcr.microsoft.com/dotnet/aspnet
OnoprienkoArtem/nest-admin,1,2021,98,6,User,TypeScript,148540,node:14.16,node
Ontotext-AD/graphdb-workbench,0,2019,190,7,Organization,JavaScript,22156,nginx:1.17-alpine,nginx
Open-Dataplatform/osiris-egress-api,5,2021,265,7,Organization,Python,633,tiangolo/uvicorn-gunicorn-fastapi:python3.8,tiangolo/uvicorn-gunicorn-fastapi
Open-Dataplatform/osiris-ingress-api,5,2021,190,5,Organization,Python,203,tiangolo/uvicorn-gunicorn-fastapi:python3.8,tiangolo/uvicorn-gunicorn-fastapi
Open-MBEE/ve,1,2022,2250,15,Organization,JavaScript,58168,node:8,node
Open-Speech-EkStep/speech-recognition-open-api,6,2022,1163,18,Organization,Python,786,gcr.io/ekstepspeechrecognition/speech-recognition-open-api-dependency:4.4,gcr.io/ekstepspeechrecognition/speech-recognition-open-api-dependency
OpenAPITools/openapi-generator,0,2020,1294,18,Organization,Java,695624,maven:3.6.3-jdk-11-openj9,maven
OpenAPITools/openapi-style-validator,1,2020,148,7,Organization,Java,50025,node:14.4.0,node
OpenArabicPE/openarabicpe.github.io,3,2020,159,5,Organization,CSS,104668,jekyll/jekyll,jekyll/jekyll
OpenBCI/Documentation,1,2019,148,7,Organization,C++,581321,node:8.11.4,node
OpenCLIM/citycat-dafni,6,2021,562,14,Organization,Python,27606,continuumio/miniconda3:4.10.3,continuumio/miniconda3
OpenClinica/kpi,5,2019,5201,62,Organization,Python,14708,kobotoolbox/koboform_base:latest,kobotoolbox/koboform_base
OpenDSA/OpenDSA,6,2021,577,17,Organization,JavaScript,130437,python:3.9-alpine3.13,python
OpenDrift/opendrift,7,2021,808,15,Organization,Python,48839,continuumio/miniconda3,continuumio/miniconda3
OpenDroneMap/WebODM,9,2021,1953,25,Organization,JavaScript,109548,ubuntu:21.04,ubuntu
OpenLMIS-Malawi/mw-ui,6,2021,435,14,Organization,JavaScript,1015,nginx:1.13.1,nginx
OpenLXP/openlxp-xis,9,2021,876,20,Organization,Python,846,python:3.7-buster,python
OpenLiberty/open-liberty-operator,1,2022,1199,22,Organization,Go,41584,registry.access.redhat.com/ubi8/ubi-minimal:latest,registry.access.redhat.com/ubi8/ubi-minimal
OpenLiberty/openliberty.io,0,2020,171,4,Organization,JavaScript,62380,open-liberty:kernel,open-liberty
OpenNeuroOrg/openneuro,1,2022,93,4,Organization,JavaScript,52484,node:17.9.0,node
OpenSlides/openslides-backend,4,2022,1271,27,Organization,Python,3558,python:3.10.3-slim-buster,python
OpenSlides/openslides-client,1,2022,671,15,Organization,TypeScript,66444,nginx:latest,nginx
OpenSlides/openslides-media-service,3,2022,789,17,Organization,Python,70,python:3.8.5-slim-buster,python
