repo_name,file_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
franckverrot/clamav-client,franckverrot/clamav-client/testDockerfile,6,2020,366,12,User,Ruby,56,ruby:${RUBY_VERSION},ruby
frank-y-liu/SPRNT,frank-y-liu/SPRNT/Dockerfile,5,2020,546,17,User,C,44075,ubuntu:bionic,ubuntu
freedomotic/freedomotic,freedomotic/freedomotic/scriptsdockeramd64Dockerfile,5,2020,1260,18,Organization,Java,147572,base,base
freedomotic/freedomotic,freedomotic/freedomotic/scriptsdockerarm64Dockerfile,7,2020,1882,30,Organization,Java,147572,base,base
freedomotic/freedomotic,freedomotic/freedomotic/scriptsdockerarmhfDockerfile,7,2020,1987,30,Organization,Java,147572,base,base
fritzprix/tachyos,fritzprix/tachyos/Dockerfile,4,2020,166,6,User,C++,5394,FROM	ubuntu:18.04,FROM	ubuntu
frozenfoxx/schemabridge,frozenfoxx/schemabridge/Dockerfile,1,2020,530,13,User,Python,39,python:3-alpine,python
furore-fhir/spark,furore-fhir/spark/.dockerlinuxMongo.Dockerfile,1,2020,121,3,Organization,C#,263777,,
futurecolors/moscowdjango,futurecolors/moscowdjango/Dockerfile,9,2020,484,13,Organization,CSS,4488,python:3.7-slim-buster,python
gabetax/attr_encrypted_pgcrypto,gabetax/attr_encrypted_pgcrypto/dockerDockerfile,4,2020,295,8,User,Ruby,25,ruby:2.7.1,ruby
gabraham/flashpca,gabraham/flashpca/Dockerfile,23,2020,1374,32,User,C++,128480,ubuntu:bionic,ubuntu
game7/sportified,game7/sportified/Dockerfile,10,2020,744,23,User,Ruby,13918,ruby:2.6.3,ruby
garethflowers/nms,garethflowers/nms/Dockerfile,1,2020,214,8,User,PHP,245,php:7.2-alpine,php
garncarz/nogamespy-vietcong,garncarz/nogamespy-vietcong/Dockerfile,2,2020,540,14,User,Python,107,python:3.7-slim,python
gbif/geocode,gbif/geocode/databaseDockerfile,2,2020,1855,26,Organization,Java,63733,postgis/postgis:12-master,postgis/postgis
gbin/err,gbin/err/Dockerfile,6,2020,590,19,Organization,Python,6336,python:3.8-slim,python
gdamjan/convertor,gdamjan/convertor/Dockerfile,5,2020,644,15,User,Python,49,debian:buster-slim,debian
geerlingguy/ansible-for-devops,geerlingguy/ansible-for-devops/docker-flaskprovisioningdataDockerfile,2,2020,196,4,User,Python,451,busybox,busybox
geerlingguy/ansible-for-devops,geerlingguy/ansible-for-devops/docker-flaskprovisioningdbDockerfile,1,2020,103,3,User,Python,451,mysql:5.7,mysql
geerlingguy/ansible-for-devops,geerlingguy/ansible-for-devops/docker-flaskprovisioningwwwDockerfile,10,2020,573,12,User,Python,451,geerlingguy/docker-ubuntu2004-ansible,geerlingguy/docker-ubuntu2004-ansible
gem-pasteur/macsyfinder,gem-pasteur/macsyfinder/DockercoverageDockerfile,4,2020,175,5,Organization,Python,54618,registry-gitlab.pasteur.fr/gem/macsyfinder/run_dep,registry-gitlab.pasteur.fr/gem/macsyfinder/run_dep
gem-pasteur/macsyfinder,gem-pasteur/macsyfinder/DockerpagesDockerfile,7,2020,378,7,Organization,Python,54618,registry-gitlab.pasteur.fr/gem/macsyfinder/run_dep,registry-gitlab.pasteur.fr/gem/macsyfinder/run_dep
gem-pasteur/macsyfinder,gem-pasteur/macsyfinder/Dockerrun_depDockerfile,4,2020,344,13,Organization,Python,54618,ubuntu:focal,ubuntu
geneotech/Augmentations,geneotech/Augmentations/Dockerfile,4,2020,1236,35,Organization,C++,148179,ubuntu:bionic,ubuntu
geodynamics/aspect,geodynamics/aspect/contribdockerdockerjupyterDockerfile,13,2020,3386,99,Organization,Gnuplot,242086,gassmoeller/aspect,gassmoeller/aspect
geodynamics/aspect,geodynamics/aspect/doclogoDockerfile,2,2020,183,5,Organization,Gnuplot,242086,tjhei/dealii:v9.0.1-full-v9.0.1-r5-gcc5,tjhei/dealii
geopython/demo.pycsw.org,geopython/demo.pycsw.org/deploy-webhookDockerfile,3,2020,1480,7,Organization,HTML,1643,alpine:3.11,alpine
geoserver/geoserver,geoserver/geoserver/buildcitegeoserverDockerfile,4,2020,1610,38,Organization,Java,275209,tomcat:jdk11-openjdk,tomcat
girder/girder,girder/girder/.circleciDockerfile,8,2020,746,23,Organization,Python,19067,circleci/python:3.6-node,circleci/python
gisce/erpclient,gisce/erpclient/dockerDockerfile,11,2020,583,19,Organization,Python,5431,python:2,python
github/hub,github/hub/Dockerfile,5,2020,551,15,Organization,Go,7255,ruby:2.6,ruby
github/pages-health-check,github/pages-health-check/Dockerfile,3,2020,496,18,Organization,Ruby,2922,ruby:$RUBY_VERSION-slim,ruby
giupo/flypwd,giupo/flypwd/Dockerfile,7,2020,310,11,User,Python,71,alpine,alpine
giuspen/cherrytree,giuspen/cherrytree/.devcontainerDockerfile,2,2020,752,18,User,C++,76060,mcr.microsoft.com/vscode/devcontainers/cpp:0-${VARIANT},mcr.microsoft.com/vscode/devcontainers/cpp
gjedeer/tuntox,gjedeer/tuntox/Dockerfile,1,2020,596,12,User,C,492,alpine:latest,alpine
glacials/splits-io,glacials/splits-io/Dockerfile,5,2020,685,15,User,Ruby,28796,ruby:$RUBY_VERSION,ruby
glastopf/conpot,glastopf/conpot/Dockerfile,3,2020,981,22,Organization,Python,2991,python:3.8-slim,python
globocom/GloboNetworkAPI,globocom/GloboNetworkAPI/scriptsdockerDockerfile,15,2020,1814,45,Organization,Python,8111,base,base
globocom/vault,globocom/vault/helpersdockerkeystoneDockerfile,8,2020,1119,24,Organization,Python,4233,python:2.7-stretch,python
globocom/vault,globocom/vault/helpersdockerswiftDockerfile,11,2020,2770,56,Organization,Python,4233,ubuntu:18.04,ubuntu
globocom/vault,globocom/vault/helpersdockervaultDockerfile,4,2020,272,7,Organization,Python,4233,python:3.7,python
gnuradio/pybombs,gnuradio/pybombs/testsdockerdebian_busterDockerfile,18,2020,607,14,Organization,Python,1798,debian:buster,debian
gnuradio/pybombs,gnuradio/pybombs/testsdockerfedora32Dockerfile,20,2020,513,15,Organization,Python,1798,fedora:32,fedora
gnuradio/pybombs,gnuradio/pybombs/testsdockerubuntu_1804Dockerfile,15,2020,814,15,Organization,Python,1798,ubuntu:18.04,ubuntu
gnuradio/pybombs,gnuradio/pybombs/testsdockerubuntu_1804_py3kDockerfile,18,2020,844,16,Organization,Python,1798,ubuntu:18.04,ubuntu
gnuradio/pybombs,gnuradio/pybombs/testsdockerubuntu_2004Dockerfile,18,2020,845,16,Organization,Python,1798,ubuntu:20.04,ubuntu
gocom/MassPlugCompiler,gocom/MassPlugCompiler/dockerlatestDockerfile,8,2020,326,14,User,PHP,165,php:7.4-cli,php
googleads/googleads-mobile-android-examples,googleads/googleads-mobile-android-examples/javaadvancedRewardedSSVExampleDockerfile,4,2020,134,6,Organization,Java,11998,openjdk:8-jdk-stretch,openjdk
gregors/graphml2json,gregors/graphml2json/Dockerfile,1,2020,332,11,User,Ruby,17,ruby:2.5,ruby
groonga/groonga,groonga/groonga/dockerfilesubuntu-16.04.dockerfile,18,2020,1653,66,Organization,C,97920,ubuntu:16.04,ubuntu
groonga/groonga,groonga/groonga/dockerfilesubuntu-18.04.dockerfile,16,2020,1658,60,Organization,C,97920,ubuntu:18.04,ubuntu
groupon/odo,groupon/odo/Dockerfile,1,2020,305,10,Organization,Java,1787,openjdk:8-jdk-slim,openjdk
grpc/grpc-java,grpc/grpc-java/buildscriptsgrpc-java-artifactsDockerfile,2,2020,673,22,Organization,Java,60166,centos:7.9.2009,centos
guillaume-sainthillier/ByNight,guillaume-sainthillier/ByNight/dockerdevDockerfile,6,2020,2236,64,User,PHP,133537,php:7.4-fpm-alpine,php
guzzle/guzzle,guzzle/guzzle/Dockerfile,1,2020,349,8,Organization,PHP,9882,php:7.3,php
gwaldron/osgearth,gwaldron/osgearth/Dockerfile,5,2020,807,20,User,C++,197739,ubuntu:16.04,ubuntu
gyng/Hudda,gyng/Hudda/Dockerfile,2,2020,646,25,User,Ruby,420,ruby:2.7-alpine3.12,ruby
h2oai/h2o-dev,h2oai/h2o-dev/dockerhadoopedge_nodeDockerfile,1,2020,475,10,Organization,Jupyter Notebook,578459,${FROM_IMAGE},${FROM_IMAGE}
hacklabr/mapasculturais,hacklabr/mapasculturais/Dockerfile,10,2020,2361,43,Organization,PHP,121805,php:7.2-fpm,php
haiwen/seafdav,haiwen/seafdav/Dockerfile,7,2020,918,8,Organization,Python,10943,python:3-alpine,python
hakanensari/peddler,hakanensari/peddler/Dockerfile,3,2020,157,8,User,Ruby,3536,ruby:2.7,ruby
hakdogan/ElasticSearch,hakdogan/ElasticSearch/Dockerfile,3,2020,356,10,User,Java,4427,maven:3-alpine,maven
halfak/Objective-Revision-Evaluation-Service,halfak/Objective-Revision-Evaluation-Service/Dockerfile,5,2020,548,18,Organization,Python,3700,python:3.7-slim-stretch,python
hasgeek/hasjob,hasgeek/hasjob/Dockerfile,9,2020,622,11,Organization,Python,18572,ubuntu:14.04,ubuntu
hayamiz/perfmonger,hayamiz/perfmonger/miscwerker-boxDockerfile,21,2020,1299,21,User,JavaScript,1893,golang:1.14,golang
hazelcast/hazelcast-code-samples,hazelcast/hazelcast-code-samples/hazelcast-integrationkubernetessamplesspringboot-k8s-hello-worldthe-clientDockerfile,2,2020,227,5,Organization,Java,95645,openjdk:11-jre-slim,openjdk
hazelcast/hazelcast-code-samples,hazelcast/hazelcast-code-samples/hazelcast-integrationkubernetessamplesspringboot-k8s-hello-worldthe-management-centerDockerfile,2,2020,344,6,Organization,Java,95645,hazelcast/management-center:4.0.1,hazelcast/management-center
hazelcast/hazelcast-code-samples,hazelcast/hazelcast-code-samples/hazelcast-integrationkubernetessamplesspringboot-k8s-hello-worldthe-serverDockerfile,2,2020,227,5,Organization,Java,95645,openjdk:11-jre-slim,openjdk
hendrikx-itc/minerva,hendrikx-itc/minerva/Dockerfile,1,2020,195,6,Organization,PLpgSQL,5772,postgres:12,postgres
hendrikx-itc/minerva,hendrikx-itc/minerva/management-test.Dockerfile,6,2020,485,15,Organization,PLpgSQL,5772,postgres:12,postgres
hendrikx-itc/minerva,hendrikx-itc/minerva/management.Dockerfile,6,2020,360,13,Organization,PLpgSQL,5772,postgres:12,postgres
heroku/heroku-buildpack-python,heroku/heroku-buildpack-python/buildsheroku-18.Dockerfile,1,2020,513,15,Organization,Ruby,56896,heroku/heroku:18-build,heroku/heroku
heroku/heroku-buildpack-python,heroku/heroku-buildpack-python/buildsheroku-20.Dockerfile,1,2020,513,15,Organization,Ruby,56896,heroku/heroku:20-build,heroku/heroku
heureka/inflection,heureka/inflection/Dockerfile,4,2020,312,9,Organization,PHP,103,php:7.1-alpine,php
hisorange/browser-detect,hisorange/browser-detect/Dockerfile,1,2020,325,8,User,PHP,786,php:7.3-apache,php
hivesolutions/viriatum,hivesolutions/viriatum/Dockerfile,7,2020,382,9,Organization,C,5149,hivesolutions/alpine_dev:latest,hivesolutions/alpine_dev
hokerffb/tools,hokerffb/tools/cloudtestingDockerfile,6,2020,636,8,User,Python,112,nginx,nginx
hokuda/pcore,hokuda/pcore/testpodmanrhel7Dockerfile,4,2020,305,9,User,Python,72,registry.access.redhat.com/rhel7,registry.access.redhat.com/rhel7
hokuda/pcore,hokuda/pcore/testpodmanrhel8Dockerfile,3,2020,243,8,User,Python,72,registry.access.redhat.com/ubi8/ubi,registry.access.redhat.com/ubi8/ubi
i4tv/gstreamill,i4tv/gstreamill/Dockerfile,29,2020,2866,64,Organization,C,2867,ubuntu:18.04,ubuntu
iGEL/it,iGEL/it/Dockerfile,5,2020,144,7,User,Ruby,143,ruby,ruby
iago1460/django-radio,iago1460/django-radio/dockerdjango.Dockerfile,5,2020,541,18,User,Python,9187,python:3.6.10-buster,python
iakonk/MyHomeRepos,iakonk/MyHomeRepos/pythondjango-projectscoookit_projectdockerappDockerfile,5,2020,2025,57,User,JavaScript,301021,python:3.7,python
iakonk/MyHomeRepos,iakonk/MyHomeRepos/pythondjango-projectscoookit_projectdockerdbDockerfile,3,2020,1025,30,User,JavaScript,301021,ubuntu:18.04,ubuntu
icarus-sim/icarus,icarus-sim/icarus/Dockerfile,2,2020,1142,17,Organization,Python,600,python:${PYTHON_VERSION},python
ideawu/ssdb,ideawu/ssdb/Dockerfile,9,2020,1026,25,User,C++,4288,ubuntu,ubuntu
ikumen/tlrl,ikumen/tlrl/Dockerfile,4,2020,1038,21,User,Java,3055,openjdk:8-jre-alpine,openjdk
ikumen/tlrl,ikumen/tlrl/fetcherDockerfile,1,2020,514,13,User,Java,3055,node:14-alpine,node
imammedo/qemu,imammedo/qemu/.gitlab-ci.dedk2Dockerfile,2,2020,577,21,User,C,275347,ubuntu:16.04,ubuntu
imammedo/qemu,imammedo/qemu/.gitlab-ci.dopensbiDockerfile,7,2020,1001,23,User,C,275347,ubuntu:18.04,ubuntu
imixs/imixs-admin,imixs/imixs-admin/Dockerfile,1,2020,206,4,Organization,JavaScript,59926,jboss/wildfly:20.0.1.Final,jboss/wildfly
infinispan/infinispan-embedded-tutorial,infinispan/infinispan-embedded-tutorial/dockerDockerfile,7,2020,415,10,Organization,Java,23,jboss/base-jdk:8,jboss/base-jdk
informationgrid/ingrid-codelist-repository,informationgrid/ingrid-codelist-repository/srcdockerDockerfile,3,2020,687,14,Organization,Java,1077,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-ibus,informationgrid/ingrid-ibus/distributionsrcdockerDockerfile,4,2020,780,18,Organization,Java,4446,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-interface-search,informationgrid/ingrid-interface-search/srcdockerDockerfile,3,2020,609,12,Organization,Java,1298,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-iplug-csw-dsc,informationgrid/ingrid-iplug-csw-dsc/srcdockerDockerfile,3,2020,747,16,Organization,Java,5777,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-iplug-excel,informationgrid/ingrid-iplug-excel/srcdockerDockerfile,3,2020,714,14,Organization,Java,8563,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-iplug-opensearch,informationgrid/ingrid-iplug-opensearch/srcdockerDockerfile,3,2020,723,14,Organization,Java,477,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-iplug-se,informationgrid/ingrid-iplug-se/distributionsrcdockerDockerfile,3,2020,697,14,Organization,Java,152610,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-iplug-sns,informationgrid/ingrid-iplug-sns/srcdockerDockerfile,3,2020,709,14,Organization,Java,12209,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-iplug-wfs-dsc,informationgrid/ingrid-iplug-wfs-dsc/srcdockerDockerfile,3,2020,717,14,Organization,Java,2018,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-iplug-xml,informationgrid/ingrid-iplug-xml/srcdockerDockerfile,3,2020,710,14,Organization,Java,482,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
informationgrid/ingrid-mdek,informationgrid/ingrid-mdek/distributionsrcdockerDockerfile,3,2020,867,18,Organization,Java,9972,docker-registry.wemove.com/ingrid-java:jre-8-alpine,docker-registry.wemove.com/ingrid-java
instructure/canvas-lms,instructure/canvas-lms/builddocker-composedynamodbDockerfile,1,2020,117,4,Organization,Ruby,1015192,amazon/dynamodb-local:1.12.0,amazon/dynamodb-local
instructure/canvas-lms,instructure/canvas-lms/docker-composevaultDockerfile,1,2020,64,4,Organization,Ruby,1015192,vault:1.3.2,vault
intrbiz/bergamot,intrbiz/bergamot/containersbergamot-test-sshDockerfile,10,2020,1352,22,User,Java,97417,opensuse:42.2,opensuse
italiangrid/storm-webdav,italiangrid/storm-webdav/dockerwebdav-centos7Dockerfile,3,2020,976,23,Organization,Java,1264,centos:7,centos
italiangrid/voms-admin-server,italiangrid/voms-admin-server/dockervoms-admin-serverdevcentos6Dockerfile,8,2020,783,21,Organization,Java,8867,italiangrid/base-dev:latest,italiangrid/base-dev
italiangrid/voms-admin-server,italiangrid/voms-admin-server/dockervoms-admin-serverdevcentos7Dockerfile,6,2020,406,13,Organization,Java,8867,centos:7,centos
italomaia/flask-empty,italomaia/flask-empty/examplesblog_exampleDockerfile,3,2020,776,25,User,Python,260,python:${PYTHON_IMG},python
ivoire/Artifactorial,ivoire/Artifactorial/Dockerfile,3,2020,1158,21,User,Python,516,debian:buster-slim,debian
jackliusr/scrapy-crawlers,jackliusr/scrapy-crawlers/Dockerfile,12,2020,2801,39,User,Python,68,scrapinghub/scrapinghub-stack-scrapy:2.1,scrapinghub/scrapinghub-stack-scrapy
jacquev6/ActionTree,jacquev6/ActionTree/developmentchecksDockerfile,2,2020,154,5,User,Python,1263,python:3.8,python
jacquev6/ActionTree,jacquev6/ActionTree/developmentdocDockerfile,4,2020,303,12,User,Python,1263,python:3.8,python
jacquev6/ActionTree,jacquev6/ActionTree/developmenttestsDockerfile,1,2020,327,10,User,Python,1263,python:$python_version,python
jakoch/phantomjs-installer,jakoch/phantomjs-installer/.devcontainerDockerfile,4,2020,1735,29,User,PHP,136,php:7.4-cli,php
jakubkulhan/bunny,jakubkulhan/bunny/dockerbunnyDockerfile,11,2020,533,19,User,PHP,245,php:7.4-cli,php
jamesdbloom/mockserver,jamesdbloom/mockserver/docker_buildperformanceDockerfile,7,2020,334,7,Organization,Java,51993,locustio/locust,locustio/locust
janucaria/molphene,janucaria/molphene/Dockerfile,26,2020,11877,216,User,C++,555,nvidia/opengl:1.0-glvnd-devel-ubuntu18.04,nvidia/opengl
jaraco/keyring,jaraco/keyring/Dockerfile,11,2020,548,9,User,Python,3865,mcr.microsoft.com/windows/servercore:ltsc2019,mcr.microsoft.com/windows/servercore
jasharpe/websockettau,jasharpe/websockettau/Dockerfile,8,2020,385,10,User,Python,10068,python:2,python
jaumemoral/mailtoticket,jaumemoral/mailtoticket/Dockerfile,3,2020,243,6,User,Python,1289,python:2.7,python
jayroh/thredded,jayroh/thredded/Dockerfile,5,2020,972,18,Organization,Ruby,3617,alpine:3.11,alpine
jbboehr/handlebars.c,jbboehr/handlebars.c/.githubalpine.Dockerfile,9,2020,913,32,User,C,2682,${BASE_IMAGE},${BASE_IMAGE}
jbboehr/handlebars.c,jbboehr/handlebars.c/.githubdebian.Dockerfile,14,2020,1104,45,User,C,2682,${BASE_IMAGE},${BASE_IMAGE}
jbboehr/handlebars.c,jbboehr/handlebars.c/.githubfedora.Dockerfile,16,2020,1074,45,User,C,2682,${BASE_IMAGE},${BASE_IMAGE}
jcbf/smf-spf,jcbf/smf-spf/.devcontainerDockerfile,1,2020,1225,14,User,Lua,285,mcr.microsoft.com/vscode/devcontainers/base:0-ubuntu-18.04,mcr.microsoft.com/vscode/devcontainers/base
jcbf/smf-spf,jcbf/smf-spf/Dockerfile,4,2020,1834,42,User,Lua,285,alpine:latest,alpine
jdehaan/Funani,jdehaan/Funani/dockercasDockerfile,5,2020,748,35,Organization,C#,5028,python:3.9-alpine,python
jeedom/core,jeedom/core/Dockerfile,1,2020,173,6,Organization,PHP,314683,debian:10,debian
jekyll/jekyll,jekyll/jekyll/.devcontainerDockerfile,4,2020,2279,26,Organization,Ruby,42240,ruby:2,ruby
jelix/jelix,jelix/jelix/testappdocker-confopenldapDockerfile,2,2020,741,16,Organization,PHP,64724,debian:stretch,debian
jelix/jelix,jelix/jelix/testappdocker-confopensslDockerfile,2,2020,179,7,Organization,PHP,64724,alpine,alpine
jenkinsci/kerberos-sso-plugin,jenkinsci/kerberos-sso-plugin/ui-testssrctestresourcescomsonymobilejenkinspluginskerberosssoKerberosContainerDockerfile,8,2020,408,14,Organization,Java,216,centos:7,centos
jenkinsci/mercurial-plugin,jenkinsci/mercurial-plugin/srctestresourceshudsonpluginsmercurialMercurialContainerDockerfile,4,2020,556,19,Organization,Java,1468,jenkins/java:d93654cc6239,jenkins/java
jgrevich/fugacious,jgrevich/fugacious/Dockerfile,8,2020,274,11,Organization,Ruby,7157,ruby:2.5.7,ruby
jhakonen/wot-teamspeak-mod,jhakonen/wot-teamspeak-mod/dockerDockerfile,3,2020,464,14,User,Python,30337,ubuntu:20.04,ubuntu
jiaqi/jmxterm,jiaqi/jmxterm/Dockerfile,3,2020,614,12,User,Java,383,openjdk:8,openjdk
jlaunonen/kirppu,jlaunonen/kirppu/Dockerfile,5,2020,956,21,User,Python,3127,python:3.6,python
jllodra/ncdump-json,jllodra/ncdump-json/Dockerfile,5,2020,432,13,User,C,10733,ubuntu:20.04,ubuntu
jmcgeheeiv/pyfakefs,jmcgeheeiv/pyfakefs/Dockerfile,16,2020,1573,22,User,Python,10794,ubuntu,ubuntu
joeferner/node-java,joeferner/node-java/dockerDockerfile,6,2020,855,18,User,C++,17512,ubuntu:16.04,ubuntu
jonashaag/feed2mail,jonashaag/feed2mail/Dockerfile,3,2020,142,5,User,Python,21,python:2-alpine,python
jooby-project/jooby,jooby-project/jooby/Dockerfile,16,2020,1046,24,Organization,Java,68255,ubuntu:latest,ubuntu
jookies/jasmin,jookies/jasmin/dockerDockerfile,6,2020,1625,33,Organization,Python,8368,python:3-buster,python
jprobinson/newshound,jprobinson/newshound/np_extractorDockerfile,8,2020,142,6,User,Go,4026,python:2.7-alpine3.8,python
jrbeverly/XPlatformer,jrbeverly/XPlatformer/environmentsbuildDockerfile,5,2020,506,5,Organization,C++,2423,frxyt/xrdp@sha256:a6ca8cfbacd3898cd9f2008ad47936a01929b64ba93962092232b31be805f2ec,frxyt/xrdp@sha256
jrfaller/diggit,jrfaller/diggit/dockerDockerfile,3,2020,429,18,User,Ruby,245,ruby:2.5-alpine,ruby
jrgdiz/iria,jrgdiz/iria/Dockerfile,1,2020,137,6,User,Python,52,python:3.8-slim,python
jselbie/stunserver,jselbie/stunserver/Dockerfile,6,2020,843,21,User,C++,610,ubuntu:18.04,ubuntu
jsommers/switchyard,jsommers/switchyard/Dockerfile,8,2020,488,6,User,Python,3229,ubuntu:20.04,ubuntu
julianguyen/ifme,julianguyen/ifme/Dockerfile,12,2020,657,15,Organization,Ruby,83318,ruby:2.6.6,ruby
juniper/py-junos-eznc,juniper/py-junos-eznc/Dockerfile,8,2020,856,22,Organization,Python,3652,alpine:3.12,alpine
jupyter/jupyterhub,jupyter/jupyterhub/demo-imageDockerfile,4,2020,437,6,Organization,Python,22937,${BASE_IMAGE},${BASE_IMAGE}
jupyter/multiuser-server,jupyter/multiuser-server/demo-imageDockerfile,4,2020,437,6,Organization,Python,22937,${BASE_IMAGE},${BASE_IMAGE}
justone/dotfiles-personal,justone/dotfiles-personal/.vimbundlealeDockerfile,7,2020,520,16,User,Vim script,19411,tweekmonster/vim-testbed:latest,tweekmonster/vim-testbed
jweyrich/livemgr-webui,jweyrich/livemgr-webui/Dockerfile,14,2020,1741,37,User,Python,2193,debian:stretch,debian
kamailio/kamailio,kamailio/kamailio/srcmodulesrtp_media_serverdockerDockerfile,30,2020,3219,59,Organization,C,89011,debian:buster,debian
kantale/pypedia,kantale/pypedia/dockerDockerfile,13,2020,675,19,User,Python,140,continuumio/anaconda:latest,continuumio/anaconda
kartoza/projecta,kartoza/projecta/deploymentproductionDockerfile,12,2020,1207,18,Organization,Python,36044,kartoza/django-base:3.7,kartoza/django-base
kaspermarstal/SimpleElastix,kaspermarstal/SimpleElastix/UtilitiesDoxygendockerDockerfile,6,2020,664,24,Organization,SWIG,20012,ubuntu:18.04,ubuntu
katzwebservices/GravityView,katzwebservices/GravityView/testsacceptancedockerDockerfile,1,2020,111,3,Organization,PHP,85312,gravityview/codeception:gv-core,gravityview/codeception
kbase/coexpression,kbase/coexpression/Dockerfile,21,2020,1741,42,Organization,Python,3007,kbase/kbase:sdkbase2.latest,kbase/kbase
kelvinn/alerted-us-web,kelvinn/alerted-us-web/Dockerfile,7,2020,476,13,User,Python,9279,python:3.8-slim,python
kernevil/samba,kernevil/samba/bootstrapgenerated-distsfedora32Dockerfile,3,2020,815,12,User,C,365729,fedora:32,fedora
kernevil/samba,kernevil/samba/bootstrapgenerated-distsubuntu1604Dockerfile,3,2020,818,12,User,C,365729,ubuntu:16.04,ubuntu
kernevil/samba,kernevil/samba/bootstrapgenerated-distsubuntu2004Dockerfile,3,2020,818,12,User,C,365729,ubuntu:20.04,ubuntu
kevinjohnston/lein-native,kevinjohnston/lein-native/Dockerfile,5,2020,805,11,User,C,29,debian:buster,debian
killbill/killbill-cloud,killbill/killbill-cloud/dockertemplatesbuildDockerfile,4,2020,2280,62,Organization,Ruby,96645,ubuntu:20.04,ubuntu
kiswa/TaskBoard,kiswa/TaskBoard/Dockerfile,6,2020,1045,21,User,TypeScript,15716,php:7.3-apache,php
kivy/buildozer,kivy/buildozer/Dockerfile,5,2020,2213,43,Organization,Python,1815,ubuntu:20.04,ubuntu
klahnakoski/pyLibrary,klahnakoski/pyLibrary/teststest_threadsdockerdev.dockerfile,3,2020,303,10,User,Python,8457,python:3.7.2,python
klee/klee,klee/klee/utilsgrafanaDockerfile,1,2020,358,7,Organization,C++,7570,grafana/grafana,grafana/grafana
klokantech/epsg.io,klokantech/epsg.io/Dockerfile,4,2020,436,13,Organization,Python,147536,klokantech/gdal:1.11,klokantech/gdal
krallin/tini,krallin/tini/Dockerfile,2,2020,404,10,User,C,241,ubuntu:xenial,ubuntu
kristofa/brave-resteasy-example,kristofa/brave-resteasy-example/dockerDockerfile,2,2020,2068,20,Organization,Java,441,$docker_parent_image,$docker_parent_image
kriswallsmith/Buzz,kriswallsmith/Buzz/Dockerfile,3,2020,323,6,User,PHP,2044,php:7.4-fpm-buster,php
kronostechnologies/devman,kronostechnologies/devman/Dockerfile,2,2020,218,7,Organization,Python,792,python:3.7-alpine,python
kste/cryptosmt,kste/cryptosmt/dockerDockerfile,22,2020,1120,28,User,Python,1450,debian:latest,debian
ktsaou/netdata,ktsaou/netdata/Dockerfile,1,2020,29,1,User,C,84708,,
kwgoodman/bottleneck,kwgoodman/bottleneck/bottlenecktestsdockercentos_7_min_depsDockerfile,6,2020,167,6,Organization,Python,13537,centos:7,centos
kwgoodman/bottleneck,kwgoodman/bottleneck/bottlenecktestsdockercentos_8_min_depsDockerfile,6,2020,167,6,Organization,Python,13537,centos:8,centos
kwgoodman/bottleneck,kwgoodman/bottleneck/bottlenecktestsdockerubuntu_devel_min_depsDockerfile,7,2020,174,6,Organization,Python,13537,ubuntu:devel,ubuntu
kwgoodman/bottleneck,kwgoodman/bottleneck/bottlenecktestsdockerubuntu_lts_min_depsDockerfile,8,2020,175,6,Organization,Python,13537,ubuntu:latest,ubuntu
lanjelot/patator,lanjelot/patator/testingunixDockerfile,62,2020,6151,100,User,Python,832,ubuntu:18.04,ubuntu
laravel-france/website,laravel-france/website/Dockerfile,8,2020,810,12,User,PHP,8127,php:7.4-fpm-alpine,php
larsyencken/code-library,larsyencken/code-library/dockerhello_flaskDockerfile,2,2020,240,9,User,Python,7695,python:3.7-alpine,python
lava/matplotlib-cpp,lava/matplotlib-cpp/contribDockerfile,7,2020,577,24,User,C++,861,debian:10,debian
lazka/pgi-docgen,lazka/pgi-docgen/dockerDockerfile,11,2020,1190,43,Organization,Python,4063,debian:testing,debian
lemire/Code-used-on-Daniel-Lemire-s-blog,lemire/Code-used-on-Daniel-Lemire-s-blog/20200619Dockerfile,14,2020,628,16,User,C,7301,ubuntu:20.10,ubuntu
