repo_name,file_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
ENSL/ensl.org,ENSL/ensl.org/Dockerfile,15,2019,1112,22,Organization,Ruby,55676,,
Enalean/tuleap,Enalean/tuleap/toolsdockergerritDockerfile,2,2019,124,5,Organization,PHP,311992,gerritcodereview/gerrit:2.16.3-centos7,gerritcodereview/gerrit
Erotemic/ibeis,Erotemic/ibeis/devdockerDockerfile,27,2019,13018,292,User,Python,202821,com.wildme.wildbook-image-curation.install,com.wildme.wildbook-image-curation.install
Evennia/evennia,Evennia/evennia/Dockerfile,7,2019,2999,19,Organization,Python,353781,python:3.7-alpine,python
ExCiteS/geokey,ExCiteS/geokey/Dockerfile,18,2019,1389,40,Organization,Python,33043,ubuntu:14.04,ubuntu
FearTeamDevelopers/Project_43698,FearTeamDevelopers/Project_43698/dockerphp-fpmDockerfile,3,2019,1033,13,Organization,JavaScript,17805,php:7.2-fpm-alpine,php
Fiste788/fantamanajer-new,Fiste788/fantamanajer-new/.dockerapacheDockerfile,1,2019,343,7,User,PHP,94934,httpd:${APACHE_VERSION:+${APACHE_VERSION}-}alpine,httpd
Flowdalic/openfire,Flowdalic/openfire/Dockerfile,2,2019,1580,34,User,Java,855634,openjdk:8-jre,openjdk
GAKUEngine/gaku,GAKUEngine/gaku/Dockerfile,13,2019,688,19,Organization,Ruby,17102,ubuntu:bionic,ubuntu
Geoportail-Luxembourg/geoportailv3,Geoportail-Luxembourg/geoportailv3/ldapDockerfile,1,2019,473,14,Organization,JavaScript,363893,ubuntu:18.04,ubuntu
GlobalNamesArchitecture/gnrd,GlobalNamesArchitecture/gnrd/Dockerfile,9,2019,1339,37,Organization,Ruby,6656,ubuntu:16.04,ubuntu
GoogleCloudPlatform/PerfKitBenchmarker,GoogleCloudPlatform/PerfKitBenchmarker/perfkitbenchmarkerdatadockerpkbubuntu16Dockerfile,11,2019,713,15,Organization,Python,21301,ubuntu:xenial,ubuntu
GraseHotspot/grase-www-portal,GraseHotspot/grase-www-portal/filesusrsharegrasesymfony4Dockerfile,12,2019,619,11,Organization,PHP,15792,php:7.2-apache,php
Greg-Griffith/ECCoin,Greg-Griffith/ECCoin/Dockerfile,10,2019,1179,9,User,C++,174992,ubuntu:18.04,ubuntu
HDFGroup/h5serv,HDFGroup/h5serv/Dockerfile,8,2019,1261,25,Organization,Python,3281,hdfgroup/hdf5lib:1.8.16,hdfgroup/hdf5lib
HSLdevcom/navigator-server,HSLdevcom/navigator-server/Dockerfile,4,2019,312,11,Organization,CoffeeScript,285,node:10,node
Haakenlid/tassen,Haakenlid/tassen/nginxDockerfile,1,2019,356,7,Organization,Python,69112,pagespeed/nginx-pagespeed:1.13,pagespeed/nginx-pagespeed
HenriWahl/seafadm,HenriWahl/seafadm/Dockerfile,2,2019,156,5,User,Python,141,python:3,python
HiSPARC/publicdb,HiSPARC/publicdb/Dockerfile,5,2019,786,19,Organization,Python,12265,python:2.7,python
HotswapProjects/HotswapAgentExamples,HotswapProjects/HotswapAgentExamples/spring-boot-kotlinDockerfile,2,2019,303,7,Organization,Java,288,openjdk:8-jre-slim,openjdk
HuygensING/timbuctoo,HuygensING/timbuctoo/Dockerfile,10,2019,1405,32,Organization,Java,43942,openjdk:11-jre-slim,openjdk
