repo_name,year,file_size,loc,owner_type,language,size,base_image_full,base_image
filo-movie/filomovie,2021,660,11,Organization,Python,16479,ubuntu:18.04,ubuntu
ABeltramo/soundbot-gui,2021,832,22,User,TypeScript,2459,backend,backend
design-driven-research/grand-central,2021,145,4,Organization,Clojure,115,openjdk:8-alpine,openjdk
frasercl/MMGIS,2021,471,11,User,JavaScript,82942,node:12,node
HBPMedical/DataQualityControlTool,2021,401,7,Organization,Python,102566,python:3.7-slim,python
ghostplant/antares,2020,2282,34,User,Python,1176,nvidia/cuda:10.0-cudnn7-devel-ubuntu18.04,nvidia/cuda
shivapoudyal/docker-tut,2020,814,7,User,Python,19,node,node
eduosumi/conversao-peso,2021,555,12,User,C#,728,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
kwoodson/machine-config-operator,2021,846,12,User,Go,34898,registry.ci.openshift.org/ocp/4.10:base,registry.ci.openshift.org/ocp/4.10
Informasjonsforvaltning/fdk-portal,2021,1000,31,Organization,TypeScript,313774,nginx:alpine,nginx
Informasjonsforvaltning/user-api,2021,200,6,Organization,Kotlin,110,openjdk:15-slim,openjdk
Informasjonsforvaltning/concept-catalogue-gui,2021,1174,33,Organization,TypeScript,5985,nginx:alpine,nginx
Informasjonsforvaltning/records-of-processing-activities,2021,224,6,Organization,Kotlin,899,openjdk:15-slim,openjdk
Informasjonsforvaltning/sso,2021,3149,31,Organization,FreeMarker,384,jboss/keycloak:6.0.1,jboss/keycloak
Informasjonsforvaltning/fdk-reference-data,2021,606,17,Organization,Java,10936,openjdk:15-slim,openjdk
zshiningstar/yolov5,2021,1984,11,User,Python,9754,nvcr.io/nvidia/pytorch:21.05-py3,nvcr.io/nvidia/pytorch
CryptoKasm/NineChronicles,2021,1055,30,Organization,C#,954064,bitnami/minideb:stretch,bitnami/minideb
madosuki/voicevox,2021,312,12,User,TypeScript,12316,node:14.17.4,node
alvyfz/ca-myproperty,2021,202,11,User,Go,117,alpine:latest,alpine
lolwolfey/CSE442-Project,2021,218,7,User,Python,537,python:3.7.4,python
RDPerera/ProjectX,2021,1984,11,User,Python,355,nvcr.io/nvidia/pytorch:21.05-py3,nvcr.io/nvidia/pytorch
coopdevs/decidim-coopcat,2020,28,1,Organization,Ruby,786,decidim/decidim:0.21.0,decidim/decidim
Pearson-Advance/edx-platform,,2616,72,Organization,Python,1317691,cms,cms
kaosagnt/boot2docker-xfs-ng,2021,18487,403,User,Shell,2220,debian:bullseye-slim,debian
rolaru/svg-path-editor,2021,206,9,User,TypeScript,9151,node:current,node
arc42/docs.arc42.org-site,2021,302,11,Organization,SCSS,15935,jekyll/builder:latest,jekyll/builder
vlang/v,2021,668,19,Organization,V,44480,buildpack-deps:buster-curl,buildpack-deps
dcblack/systemc-complete,2020,3574,99,User,Perl,235,ubuntu:latest,ubuntu
michaelahli/postgre-scheduler,2021,290,11,User,Go,27,golang:1.17.0-alpine3.13,golang
irahulranjan/go-shopify,2020,152,4,User,Go,511,golang:1.14-alpine,golang
epistoteles/Modergator,2021,280,8,User,Python,108131,python:3.8,python
CodeProcessor/DeepLab-Training-Pipeline,2021,721,12,User,Python,567,tensorflow/tensorflow:2.5.1-gpu,tensorflow/tensorflow
tanakahk/Backend-Studies,2021,229,4,User,JavaScript,328,node:14-buster,node
tanakahk/full-stack-API,2021,86,4,User,JavaScript,268,node:14-buster,node
finiam/rails-starter,2021,954,34,Organization,Ruby,6942,ruby:${RUBY_VERSION}-alpine,ruby
materials-commons/materialscommons,2020,387,9,Organization,PHP,16807,php:7.3-cli,php
TheresNoGit/TheresNoDiscordBot,2021,357,10,Organization,Python,149,python:3.10.0rc2-buster,python
ngi-nix/cwe_checker,2021,884,18,Organization,Rust,7815,fkiecad/ghidra_headless_base:9.2.1,fkiecad/ghidra_headless_base
CiscoDevNet/sastre,2020,619,16,Organization,Python,580,python:3.9-alpine,python
nonnil/TorCi,2021,746,12,User,Nim,11014,nimlang/nim:alpine,nimlang/nim
1nf1nateL00p3r/jackhammer,2019,898,21,User,Java,66964,ubuntu:18.04,ubuntu
lushenle/cse546-project3,2021,2398,27,User,Python,12,python-alpine,python-alpine
kofj/docs,2020,1889,42,User,Shell,54909,perl:5.30-buster,perl
tustustushar/MUSIC,2021,344,12,User,Python,448,python:3.9.6-slim-buster,python
ValterH/opencv_aws_lambda_windows,2021,1231,25,User,Dockerfile,43797,amazonlinux,amazonlinux
poziom-szczepien/poziom-szczepien.github.io,2021,200,11,User,JavaScript,16008,openjdk:16-jdk-buster,openjdk
textbook/impasse,2021,625,25,User,JavaScript,20509,node:${NODE_RELEASE}-alpine${ALPINE_RELEASE},node
textbook/starter-kit,2021,654,25,User,JavaScript,22590,node:${NODE_RELEASE}-alpine${ALPINE_RELEASE},node
eonwarped/nitrous,2020,1265,27,User,None,70010,node:12.16.2-alpine,node
calendso/docker,2021,833,24,Organization,Shell,54,node:14-alpine,node
kevin-s31/goof,2021,222,10,User,JavaScript,5292,node:14.1.0,node
Journaly/journaly,2021,857,28,Organization,TypeScript,20450,node:14,node
NeilBrandon/Node-RED-Docker,2019,1090,34,User,JavaScript,32,node:lts-slim,node
clandestine-condor/reviews-service,2021,547,4,Organization,JavaScript,33,node:14.18-alpine,node
TJMoats/WoWAnalyzer,2021,155,5,User,TypeScript,364875,nginx:stable-alpine,nginx
PixelExperience/wiki,2021,247,9,Organization,SCSS,101623,docker.io/ruby:2.4,docker.io/ruby
eduardocerqueira/janitor,2021,659,19,User,Python,131,centos:8,centos
eduardocerqueira/seeker,2021,1245,28,User,Python,1971,registry.access.redhat.com/ubi8/python-38,registry.access.redhat.com/ubi8/python-38
patrocinio/jmeter-ibmmq,2021,1990,30,User,Java,7972,alpine:3.12,alpine
raghavTinker/Github-Visualizer,2021,891,10,User,Python,212,python:3.8-slim-buster,python
VKCOM/kphp,2020,747,13,Organization,C++,31522,ubuntu:20.04,ubuntu
FloatingMilkshake/DiscordBot,2021,289,10,User,C#,412,mcr.microsoft.com/dotnet/runtime:5.0-alpine,mcr.microsoft.com/dotnet/runtime
SwitchbladeBot/switchblade,2021,113,7,Organization,JavaScript,16080,node:16,node
project-oak/oak,2021,14258,199,Organization,Rust,94719,debian/snapshot:${debian_snapshot},debian/snapshot
Mmasson-01/udemy-docker,2021,325,9,User,JavaScript,31,nginx,nginx
jchima/container-ci-demo,2021,189,4,User,Java,215,openjdk:8-jdk-alpine,openjdk
bert-w/version-comparison-heatmap,2021,862,19,User,JavaScript,25,php:7.4-fpm,php
f1nal3/Juniorgram,2021,123,4,User,C++,4188,postgres,postgres
TurboCheetah/succubus.space-api,2021,454,18,User,TypeScript,22659,gcr.io/distroless/nodejs:14,gcr.io/distroless/nodejs
LuanEdCosta/gui-v2,2020,340,14,User,None,3899,nginx:1.19,nginx
verywitted/mediapipe-1,2019,2044,34,User,C++,208000,ubuntu:latest,ubuntu
Filum-AI/filum-java-sdk,2021,67,4,Organization,Java,45096,gradle:jdk11,gradle
eoinmcafee00/HelloWorldCore,2021,537,15,User,Dockerfile,97,base,base
akshaysu12/gdc-pipeline,2021,1839,34,User,Python,10,builder,builder
brandond/rke2,2020,2261,45,User,None,24356,scratch,scratch
brecke/Hilary,2021,2409,39,User,JavaScript,32164,node:12-alpine3.9,node
leonardvdj/delist_util,2021,88,5,User,JavaScript,28,node:16-alpine,node
PerchunPak/PingerBotTEST,2021,178,7,User,Python,155,gorialis/discord.py,gorialis/discord.py
PerchunPak/PingerBot,2021,178,7,User,Python,596,gorialis/discord.py,gorialis/discord.py
noemission/mongo-s3-dumper,2021,262,9,User,Shell,2,alpine:3.14,alpine
usaginotsuki/avatarify-open-fork,2021,1882,26,User,Python,15136,nvcr.io/nvidia/cuda:10.0-cudnn7-runtime-ubuntu18.04,nvcr.io/nvidia/cuda
jhassine/server-ip-addresses,2020,115,5,User,Shell,1904,alpine:3.12,alpine
sharon-wang/CSharpLab,2020,373,9,User,C#,704,mcr.microsoft.com/dotnet/core/aspnet:3.1,mcr.microsoft.com/dotnet/core/aspnet
verrazzano/istio-coredns-plugin,2021,207,4,Organization,Go,41063,tutum/curl,tutum/curl
verrazzano/node_exporter,2019,333,10,Organization,Go,11355,quay.io/prometheus/busybox-${OS}-${ARCH}:glibc,quay.io/prometheus/busybox-${OS}-${ARCH}
verrazzano/oam-kubernetes-runtime,2021,945,14,Organization,Go,1210,oamdev/gcr.io-distroless-static:nonroot,oamdev/gcr.io-distroless-static
yieldscan/yieldscan-frontend,2021,690,18,Organization,JavaScript,6213,node:lts,node
rebeccaringuette/Kamodo,2021,1282,12,User,Jupyter Notebook,59728,continuumio/miniconda3:latest,continuumio/miniconda3
LinkSake/technical-challenge,2021,1142,24,User,Ruby,732,ruby:3.0.2-slim,ruby
ksimon1/ssp-operator,2021,853,21,User,Go,14377,registry.access.redhat.com/ubi8/ubi-minimal,registry.access.redhat.com/ubi8/ubi-minimal
PI2-VANT/Backend-User,2021,88,4,Organization,TypeScript,435,node:15,node
PI2-VANT/Frontend,2021,117,5,Organization,TypeScript,786,node:14-alpine,node
maximmacari/Fluent_Vapor,2021,2184,24,User,Swift,13,swift:5.4-focal-slim,swift
ameyp/dotfiles,2018,549,16,User,Emacs Lisp,228,ubuntu:16.04,ubuntu
highperformancecoder/minsky,2020,332,5,User,C++,84438,highperformancecoder/builttravisciimage,highperformancecoder/builttravisciimage
GiyoMoon/WitchTrade-FE,2021,1055,27,Organization,TypeScript,3311,node:lts-alpine3.14,node
ClaudePlos/nap_cash_registers,2021,123,4,User,JavaScript,3719,openjdk:8-jdk-alpine,openjdk
03k64/quiche,2021,1124,27,User,Rust,17387,martenseemann/quic-network-simulator-endpoint:latest,martenseemann/quic-network-simulator-endpoint
nhuanluong/livekit-server,2021,644,14,User,Go,1715,alpine,alpine
MustafaRa46/CSE442ProjectA,2021,135,7,User,CSS,4208,node:14,node
metridoc/metridoc-rails,2021,1776,34,Organization,HTML,7757,phusion/passenger-ruby25:1.0.9,phusion/passenger-ruby25
hanin77/javascript-functions,2019,187,9,User,JavaScript,264,node:12.7-alpine,node
Teslow/apps,2020,823,18,User,None,161619,nginx:stable-alpine,nginx
mcclurec/homer,2021,789,22,User,Vue,4263,alpine:3.11,alpine
GadaleanIuliaGabriela/Emergya,2021,687,22,User,PHP,1195,drupal:8-apache,drupal
yearn/yearn-exporter,2021,207,7,Organization,Python,594,python:3.8-buster,python
minswap/private-alonzo-testnet,2021,460,14,Organization,Shell,592,debian:buster-slim,debian
alexyao2015/Nextcloud-Docker,2021,1206,45,User,Dockerfile,85,nextcloud:22.2.0-fpm-alpine,nextcloud
d-r-e/woody_woodpacker,2021,767,11,User,C,352,debian:buster,debian
anssilap/qmk_firmware,2019,101,5,User,C,179149,qmkfm/base_container,qmkfm/base_container
apoclyps/reviews,2021,502,9,User,Python,1253,python:3.10.0-alpine,python
madgeek-arc/resource-catalogue-ui-openaire,2020,455,13,Organization,HTML,55072,nginx:alpine,nginx
madgeek-arc/Statistic-chart-generator,2021,1019,18,Organization,Java,449,ubuntu:18.04,ubuntu
madgeek-arc/resource-catalogue,2021,919,15,Organization,Java,4202,tomcat:8.5-jre8-alpine,tomcat
ShadowNoxX/ShadowNoxX.github.io,2021,48,2,User,JavaScript,11788,nginx:alpine,nginx
pganalyze/collector,2021,1074,25,Organization,Go,22525,golang:1.17-alpine,golang
openoereb/oereb_client,2021,1625,41,Organization,JavaScript,9100,registry.gitlab.com/geo-bl-ch/docker/python:alpine-3.14,registry.gitlab.com/geo-bl-ch/docker/python
BethanyG/python-test-runner,2021,338,11,User,Python,180,python:3.9-slim,python
veramolabs/neptune-discord-agent,2021,119,7,Organization,TypeScript,261,node:16,node
juancho11gm/advanced-react-hooks,2021,96,5,User,JavaScript,2178,node:16,node
TushA55/jwt-auth-api,2021,23,1,User,JavaScript,26,node:14.15.1-slim,node
hashgraph/hedera-services,2021,2751,40,Organization,Java,150584,base-runtime,base-runtime
codeforjapan/mynumbercard_statistics,2021,463,15,Organization,Python,10543,python:3.8-slim,python
Nordix/Meridio-Operator,2021,755,18,Organization,Go,850,${BASE_IMG},${BASE_IMG}
Nordix/cmd-nse-icmp-responder,2021,805,22,Organization,Go,621,alpine,alpine
Nordix/baremetal-operator,2021,1046,20,Organization,Go,60028,gcr.io/distroless/base:latest,gcr.io/distroless/base
Nordix/cluster-api-provider-openstack,2021,1810,22,Organization,Go,45682,gcr.io/distroless/static:nonroot,gcr.io/distroless/static
Nordix/nfqueue-loadbalancer,2021,216,6,Organization,C,825,ubuntu:20.04,ubuntu
Nordix/ironic-image,2021,2889,47,Organization,Shell,467,$BASE_IMAGE,$BASE_IMAGE
Nordix/cluster-api-provider-metal3,2021,1554,22,Organization,Go,71481,gcr.io/distroless/static:latest,gcr.io/distroless/static
ecommerceberlin/targiehandlu.pl,2018,375,9,Organization,JavaScript,11725,node:alpine,node
metrico/cLoki,2021,166,8,Organization,JavaScript,1153,node:14-slim,node
pccql/node-boilerplate,2021,442,10,User,TypeScript,27,node:14.18,node
voluntarily/vly2,2021,945,34,Organization,JavaScript,69026,base,base
seleniumbase/SeleniumBase,2021,3834,68,Organization,Python,13576,ubuntu:18.04,ubuntu
KOTluishirosagi/Tele-LeechX,2021,688,31,User,Python,1254,ubuntu:20.04,ubuntu
opensciencegrid/topology,2021,1267,29,Organization,Python,11867,opensciencegrid/software-base:release,opensciencegrid/software-base
Jayaprakash8887/knowledge-platform,2019,791,14,User,None,56873,openjdk:8-jre-alpine,openjdk
gcd-cloud-research/eaas_deploy,2021,519,16,Organization,Dockerfile,3,node:12-alpine,node
torognes/swarm,2021,274,13,User,C++,4142,alpine:latest,alpine
MonkSoul/Furion,2021,904,17,User,C#,347686,mcr.microsoft.com/dotnet/aspnet:5.0-alpine,mcr.microsoft.com/dotnet/aspnet
pyobs/pyobs-core,2019,212,7,Organization,Python,2780,python:3.6-stretch,python
vurtn/abalone,2021,940,36,User,Ruby,5463,ruby:2.6.6-alpine,ruby
ganeshgore/vtr-verilog-to-routing,2021,1868,75,User,C++,199318,ubuntu:trusty,ubuntu
zoheb391/hydra,2021,5037,102,User,None,6148,hasura-with-migrations,hasura-with-migrations
SebDanielsson/docker-etlegacy,2021,536,10,User,Dockerfile,95,debian:bullseye-slim,debian
LucidApp/canvas-lms,2021,4804,102,Organization,Ruby,907131,instructure/ruby-passenger:$RUBY,instructure/ruby-passenger
gildub/forklift-controller,2021,1290,24,User,Go,34940,registry.access.redhat.com/ubi8/ubi-minimal:8.4,registry.access.redhat.com/ubi8/ubi-minimal
UnterrainerInformatik/overmind-gui,2021,203,9,Organization,Vue,1545,nginx:stable-alpine,nginx
YasiOnFire/hoppscotch,2021,445,14,User,Vue,47558,node:lts-alpine,node
timbru31/mms-stockshock,2021,602,15,User,TypeScript,17016,timbru31/node-chrome:gallium-alpine,timbru31/node-chrome
EddieJoseph/rqfapp-frontend,2021,967,18,User,JavaScript,313,nginx:1.16.0-alpine,nginx
tanium/octobot,2018,726,29,Organization,Rust,1319,ubuntu:latest,ubuntu
winksaville/lighthouse,2021,458,13,User,Rust,73009,debian:buster-slim,debian
Salvi0/jukebox,2021,1200,20,User,TypeScript,5998,hazmi35/node:16-alpine,hazmi35/node
sam-caldwell/dns-project,2021,291,8,User,Shell,18,ubuntu:latest,ubuntu
Gelean/website,2020,865,19,User,HTML,27555,nginx:alpine,nginx
enzoantonino/jira-grafana-json-datasource,2019,117,7,User,JavaScript,30,node:10.15-alpine,node
localhostesszw/JS-RatingsCalculator,2019,187,9,User,JavaScript,120,node:12.7-alpine,node
solarwinds/nova,2020,569,11,Organization,TypeScript,9099,node:lts-slim,node
icanbwell/fhir-server,2021,1665,13,Organization,JavaScript,49691,node:16.13-bullseye-slim,node
Emupedia/emupedia.github.io,2019,185,5,Organization,JavaScript,398262,gitpod/workspace-full:latest,gitpod/workspace-full
clightning4j/lite-bitcoin-rpc,2021,465,10,Organization,Java,224,ubuntu:20.04,ubuntu
clightning4j/JRPClightning,2021,1061,16,Organization,Java,1877,ubuntu:20.04,ubuntu
MrFriendly-B-V/CRMQuery-Frontend,2021,337,10,Organization,TypeScript,35,nginx:1.21.1-alpine,nginx
MrFriendly-B-V/Dashboard,2021,855,23,Organization,TypeScript,104,ubuntu:latest,ubuntu
MrFriendly-B-V/CRMQuery-API,2021,970,25,Organization,Rust,99,alpine:latest,alpine
TrevinAvery/docs,2021,2883,47,User,None,626125,production,production
soffieswan01/TypeScript,2020,252,6,User,TypeScript,1487885,node:current,node
ibejohn818/stackformation,2018,486,9,User,Python,520,python:3.6,python
HabitRPG/habitica,2020,1077,22,Organization,JavaScript,1553888,node:14,node
jesse-ai/jesse,2021,612,17,Organization,Python,6101,python:3.9.4-slim,python
benjaminniess/scale-viewer-laravel,2020,1341,32,User,PHP,708,php:7.4.2-cli-buster,php
rakshithvasudev/dlrm,2020,392,7,User,Python,1356,${FROM_IMAGE_NAME},${FROM_IMAGE_NAME}
optim22team/optim_22_app,2021,1125,10,Organization,Go,31926,golang:1.16.7,golang
deepscan/wp-calypso,2021,2464,43,Organization,JavaScript,537539,node:${node_version}-alpine,node
plexsystems/konstraint,2021,413,12,Organization,Go,855,alpine:3.14.2,alpine
lostfictions/catbot,2021,770,19,User,TypeScript,432,node:16.9.1,node
lostfictions/why-cant-i,2020,395,11,User,JavaScript,2035,node:14,node
richiefrost/Pipster,2019,279,11,User,Python,15,ubuntu:latest,ubuntu
sanchezjuanmanuel93/heroes-spring-boot-app,2021,113,4,User,Java,90,openjdk:11,openjdk
denverdino/image-syncer,2019,522,12,User,Go,3438,alpine:latest,alpine
CarameloSz/KannaMusic,2021,119,6,User,JavaScript,317,node:14-alpine,node
deeredman1991/ProjectMRA,,802,24,User,None,10591,python:3.9-alpine3.13,python
QuentinLuppo/binance-trade-bot,2021,344,10,User,Python,484,python:3.8-slim,python
yanlolo/accel-align-release,2020,181,7,User,C++,8420,ubuntu,ubuntu
ivarmedi/dummy,2021,117,6,User,Go,8,golang:1.16-alpine,golang
vanvalenlab/deepcell-label,2021,201,7,Organization,JavaScript,9406,python:3.7,python
knoffi/pokeBattleSim,2021,1205,18,User,Java,2023,adoptopenjdk/openjdk11:alpine,adoptopenjdk/openjdk11
Ceramicwhite/explorer,2021,299,12,User,TypeScript,14149,node:alpine,node
IDSIA/adapquest,2021,948,17,Organization,Java,786,openjdk:11-jre-slim,openjdk
ilinaraducristian/rendezvous,2021,97,4,User,TypeScript,8733,nginx:1.21.1-alpine,nginx
mosuke5/openshift-pipelines-gitops-practice,2021,273,9,User,Python,6841,redhat/ubi8:8.4,redhat/ubi8
mutdmour/n8n-heroku-max,2021,1229,23,User,Shell,177,node:14.16-alpine,node
mutdmour/n8n-heroku-test1,2021,1212,22,User,Shell,34,node:lts-alpine,node
ci-work/blockchain-core,2019,559,18,User,Erlang,20037,erlang:21.0,erlang
ci-work/miner,2021,1611,36,User,Erlang,12686,${RUNNER_IMAGE},${RUNNER_IMAGE}
pokemon-picture-book/pokemon-api,2021,112,4,Organization,TypeScript,635994,node:14,node
pokemon-picture-book/pokemon-web,2021,288,10,Organization,Vue,18972,nginx:stable-alpine,nginx
hly1204/OI-wiki,2020,581,16,User,None,77464,ubuntu:16.04,ubuntu
matheusmosca/walrus,2021,129,6,User,Go,238,golang:1.17,golang
int222-section2-8-44-84/front-End,2021,188,10,Organization,Vue,3282,node:12.16.0-alpine,node
int222-section2-8-44-84/Back-End,2021,307,9,Organization,Java,2649,openjdk:16-jdk-alpine,openjdk
joaophi/core,2021,1118,26,User,Python,265973,${BUILD_FROM},${BUILD_FROM}
echo-webkom/echo-web-frontend,2021,478,10,Organization,TypeScript,6576,cypress/base:latest,cypress/base
Santimilos/Discord-MusicBot,2021,119,6,User,JavaScript,2611,node:16-alpine,node
Santimilos/bot,2021,111,6,User,JavaScript,8550,node:16,node
Santimilos/welcome-bot,2021,205,10,User,JavaScript,7309,node:16,node
RajeshAudhurthi/webapp,2021,134,4,User,Shell,1577,tomcat:8-jdk8-openjdk-slim,tomcat
ellemouton/lnd,2021,1851,27,User,Go,55578,alpine,alpine
terachan0117/covid19-toyama,2021,218,9,User,Vue,28558,node:10.23.2-alpine,node
andyzhangx/cloud-provider-azure,2018,332,7,User,Perl,62737,buildpack-deps:stretch-curl,buildpack-deps
OnlyLight/Azure-DevOps-and-Terraform,2021,451,11,User,HCL,108,mcr.microsoft.com/dotnet/aspnet:5.0-alpine,mcr.microsoft.com/dotnet/aspnet
dabrowskif/habitica,2020,1077,22,User,JavaScript,1528286,node:14,node
TokelPlatform/documentation,2019,129,5,Organization,Python,60967,node:alpine,node
favware/graphql-pokemon,2021,803,20,Organization,TypeScript,17281,base,base
CChemin/sugoi-api,2020,437,12,User,Java,2016,tomcat:9.0.38-jdk11-openjdk,tomcat
wekey-dev/qmk_configurator,2020,1251,25,Organization,None,21429,nginx,nginx
DylanK46/TeamEnigma-ProjectEco-Webserver,2021,75,4,User,EJS,36624,node:12,node
isaura-koch/Tabalho-G1-Big-Data,2021,53,2,User,PLpgSQL,78,postgres,postgres
thiguetta/torpedo,2021,1696,33,User,Go,114608,alpine,alpine
danielpeintner/thingweb.node-wot,2021,806,24,User,TypeScript,6427,node:12.16.1-alpine3.11,node
octozon/stock-api,2021,768,15,Organization,C#,70,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
browniebroke/hacktoberfest-labeler-action,2021,393,8,User,Python,99,python:3.9-slim,python
proyecto-cema/cema-ui,2021,429,13,Organization,Vue,6545,nginx:stable-alpine,nginx
quay/quay,2021,7203,132,Organization,Python,14114,base,base
quay/quay-operator,2021,430,15,Organization,Go,30005,scratch,scratch
quay/clair,2021,1444,23,Organization,Go,32923,registry.access.redhat.com/ubi8/ubi-minimal,registry.access.redhat.com/ubi8/ubi-minimal
system76/assembly,2021,2366,57,Organization,Elixir,167,alpine:3.9,alpine
markushinz/aws-ses-pop3-server,2021,588,17,User,Go,2068,alpine:3.14.2,alpine
kadaster/labs.kadaster.nl,2021,524,11,Organization,JavaScript,759126,jekyll,jekyll
XenonTheInertG/OpenBullet2,2021,573,11,User,C#,18371,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
hardisgroupcom/sfdx-hardis,2021,1128,22,Organization,TypeScript,5845,alpine:latest,alpine
ForrestWick/Skyrat-tg,2021,2461,61,User,DM,2111041,byond,byond
huahaiy/docker-datalevin,2021,699,18,User,Dockerfile,13,huahaiy/debian,huahaiy/debian
Top-Ranker/Frontend,2021,280,12,Organization,Vue,1498,node:lts-alpine3.14,node
thedogwiththedataonit/USFA_RESULTS_APP,2021,546,5,User,HTML,15966,python:3.8.2-alpine,python
ASY13/swap-meet,2021,763,18,User,Python,34,continuumio/anaconda3:latest,continuumio/anaconda3
b4us/spksrc,2021,1835,73,User,Makefile,50747,debian:buster,debian
meterio/voltswap_api,2021,431,8,Organization,JavaScript,71,keymetrics/pm2:14-jessie,keymetrics/pm2
ian-sartor/ECE444-F2021-Lab3,2021,251,8,User,Python,28169,python:3.9-slim,python
LandSandBoat/server,2021,1264,17,Organization,Lua,336636,ubuntu:20.04,ubuntu
drakylar/pcf_FORK_CHECK_GITLAB,2021,263,6,User,HTML,13912,python:3.9,python
alexbegg/airflow,2021,21750,337,User,Python,135933,${PYTHON_BASE_IMAGE},${PYTHON_BASE_IMAGE}
che-incubator/dash-licenses,2021,1950,30,Organization,JavaScript,191,docker.io/openjdk:15-jdk,docker.io/openjdk
che-incubator/che-code,,2487,53,Organization,TypeScript,17079,alpine:3.13.6,alpine
rajanvalencia/react-portfolio,2021,316,10,User,JavaScript,155156,mhart/alpine-node:12,mhart/alpine-node
all-of-us/healthpro,2021,1731,32,Organization,PHP,11517,php:7.4,php
ruben-sdc/http-echo-server,2021,141,8,Organization,JavaScript,52,node:14,node
viaacode/openseadragon-client,2021,61,2,Organization,HTML,77,httpd:latest,httpd
radraju/mrover-workspace,2021,7836,113,User,Vue,107530,ubuntu:18.04,ubuntu
Rikku-x/just-the-docs,2020,197,8,User,SCSS,6333,ruby:2.6,ruby
orouz/TypeScript,2020,252,6,User,TypeScript,1561919,node:current,node
lrochette/CorpSite,2021,98,3,User,CSS,23158,tomcat:9.0,tomcat
Modulus/deno-postgres-demo,2021,521,10,User,TypeScript,30,gcr.io/distroless/cc-debian10,gcr.io/distroless/cc-debian10
brucemoran/TumorType-WGS,2021,1078,19,User,Python,172051,centos:7.9.2009,centos
qawatake/c-compiler,2021,280,7,User,C,270,ubuntu:latest,ubuntu
PowerOlive/netdata,2020,29,1,User,C,68233,,
PowerOlive/go-ethereum,2021,723,16,User,Go,168712,alpine:latest,alpine
ChungZH/OI-wiki,2018,578,16,User,None,55025,ubuntu:16.04,ubuntu
sidanmor/contribution-activity,2019,339,10,User,Dockerfile,2126,ubuntu:16.04,ubuntu
lsst-sqre/vo-cutouts,2021,1951,24,Organization,Python,262,base-image,base-image
lsst-sqre/rubin-tv,2021,1896,26,Organization,Python,758,base-image,base-image
lsst-sqre/kafka-aggregator,2021,1718,24,Organization,Python,669,base-image,base-image
ably/docs,2021,1041,23,Organization,Ruby,193493,ruby:${RUBY_VERSION}-alpine,ruby
matklad/nearcore,2021,1272,38,User,None,63439,ubuntu:18.04,ubuntu
openlibraryenvironment/mod-rs,2021,609,7,Organization,Groovy,2771,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
aramase/aad-pod-identity,2021,1346,30,User,Go,18076,$BASEIMAGE,$BASEIMAGE
archivesspace/archivesspace,2021,2064,49,Organization,Ruby,251819,ubuntu:20.04,ubuntu
Hidayatilman/ShiraoriBOT,2021,419,16,User,JavaScript,5496,node:16.6.1-buster,node
vuhadung/spring-boot-jwt-example,2021,983,20,User,Java,191,centos:8,centos
toducquan/auth-api,2021,151,6,User,TypeScript,14738,node:lts-alpine,node
kruize/autotune,2021,3710,44,Organization,Shell,1677,registry.access.redhat.com/ubi8/ubi-minimal:8.3,registry.access.redhat.com/ubi8/ubi-minimal
DonSchenck/vac-seen-generator,2021,656,15,User,C#,75,base,base
jamtuba/My-Custom-Action,2021,104,4,User,Dockerfile,2,ubuntu,ubuntu
Chandru-21/End-to-End-Movie-Recommendation-System-with-deployment-using-docker-and-kubernetes,2021,341,8,User,Python,5415,python:3.7-slim,python
folio-org/edge-inn-reach,2021,288,5,Organization,Java,204,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-orders,2020,308,5,Organization,Java,5412,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-source-record-manager,2020,363,5,Organization,Java,123556,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-tags,2021,281,5,Organization,Java,197,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-inn-reach,2021,282,5,Organization,Java,1090,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-quick-marc,2021,287,5,Organization,Java,46397,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-search,2021,283,5,Organization,Java,1381,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-permissions,2020,307,5,Organization,Java,920,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-licenses,2021,222,7,Organization,Groovy,740,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
folio-org/mod-invoice,2020,309,5,Organization,Java,62271,folioci/alpine-jre-openjdk11:latest,folioci/alpine-jre-openjdk11
