repo_name,year,file_size,loc,owner_type,language,size,base_image_full,base_image
KNMI/adaguc-server,2021,3602,98,Organization,C++,53132,centos:7,centos
sigstore/fulcio,2021,1402,15,Organization,Go,770,deploy,deploy
sigstore/cosign,2021,756,6,Organization,Go,16710,$RUNTIME_IMAGE,$RUNTIME_IMAGE
M9nood/m9-backstore-service,2021,545,13,User,Go,98,heroku/heroku:18,heroku/heroku
bitpay/bitcore,2021,3540,52,Organization,JavaScript,93571,node:10,node
tmespe/brightspace_downloader,2021,848,17,User,Python,73,ubuntu:latest,ubuntu
bifrost-finance/bifrost,2021,1961,35,Organization,Rust,39150,ubuntu:latest,ubuntu
IsaacTheSharkWolf/Skyrat-tg,2021,2461,61,User,DM,2113164,byond,byond
nearform/covid-green-push-api,2021,1090,20,Organization,JavaScript,10677,,
Galarzaa90/TibiaKt,2021,389,9,User,Kotlin,4197,adoptopenjdk/openjdk16:debianslim-jre,adoptopenjdk/openjdk16
seanhardison1/vcrshiny,2021,3171,40,User,R,3522759,rocker/r-ver:4.0.5,rocker/r-ver
metriql/metriql,2021,1197,13,Organization,Kotlin,2080,openjdk:11-jre-slim,openjdk
Potapy4/angular-cli,2019,36,2,User,TypeScript,75870,node:10.12,node
goccy/kubetest,2021,185,7,User,Go,1105,golang:1.16-stretch,golang
vedmaka/hadolint-action,2021,173,4,User,Shell,42,hadolint/hadolint:v2.7.0-debian,hadolint/hadolint
emeloibmco/IBM-Cloud-Code-Engine-.Net,2021,176,6,User,C#,79045,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
polimorfo/alias-free-gan-pytorch,2021,2123,48,User,Python,87136,nvidia/cuda:10.0-cudnn7-devel-ubuntu18.04,nvidia/cuda
nagygergo/cluster-api-provider-vsphere,2021,1550,19,User,None,60282,gcr.io/distroless/static:nonroot,gcr.io/distroless/static
Utaro-M/scenario_simulator_v2,2021,1165,22,User,C++,275078,ros:${ROS_DISTRO},ros
camposer/accessbot,2021,519,19,User,Python,4359,continuumio/miniconda3,continuumio/miniconda3
