repo_name,smell_code,type,level,year,file_size,loc,owner_type,language,size
mhayes2019/swap-meet,DL3007,DL,warning,2021,763,18,User,Python,34
mhayes2019/swap-meet,DL3008,DL,warning,2021,763,18,User,Python,34
mhayes2019/swap-meet,DL3020,DL,error,2021,763,18,User,Python,34
mhayes2019/swap-meet,DL3042,DL,warning,2021,763,18,User,Python,34
mhayes2019/swap-meet,DL3020,DL,error,2021,763,18,User,Python,34
mhayes2019/swap-meet,DL3020,DL,error,2021,763,18,User,Python,34
mhayes2019/swap-meet,DL3020,DL,error,2021,763,18,User,Python,34
burningmantech/ranger-clubhouse-api,DL3018,DL,warning,2021,5375,56,Organization,PHP,3665
burningmantech/ranger-clubhouse-api,DL4006,DL,warning,2021,5375,56,Organization,PHP,3665
burningmantech/ranger-clubhouse-api,SC2046,SC,warning,2021,5375,56,Organization,PHP,3665
burningmantech/ranger-clubhouse-web,DL3016,DL,warning,2021,1931,16,Organization,JavaScript,15177
toptal/picasso,DL3018,DL,warning,2021,2114,34,Organization,TypeScript,56985
alltheplaces/alltheplaces,DL3013,DL,warning,2021,349,11,Organization,Python,7671
alltheplaces/alltheplaces,DL3042,DL,warning,2021,349,11,Organization,Python,7671
alltheplaces/alltheplaces,DL3008,DL,warning,2021,349,11,Organization,Python,7671
ulb-sachsen-anhalt/DSpace,DL3020,DL,error,2020,2394,28,Organization,None,149694
ulb-sachsen-anhalt/DSpace,DL4006,DL,warning,2020,2394,28,Organization,None,149694
nathan-snyk/docker-goof,DL3008,DL,warning,2019,53,2,User,Shell,1632
ijiraq/findMoving,DL3007,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3002,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3008,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3013,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3020,DL,error,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3020,DL,error,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3008,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3008,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3013,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3013,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3013,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3013,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3000,DL,error,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3013,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3013,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3013,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3042,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3027,DL,warning,2021,1776,45,User,Fortran,1400
ijiraq/findMoving,DL3020,DL,error,2021,1776,45,User,Fortran,1400
dahlia/seonbi,DL4006,DL,warning,2021,1432,35,User,Haskell,31159
dahlia/seonbi,DL4006,DL,warning,2021,1432,35,User,Haskell,31159
codeforamerica/shiba,DL3045,DL,warning,2021,132,6,Organization,Java,62538
codeforamerica/vita-min,DL4006,DL,warning,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL3008,DL,warning,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL4006,DL,warning,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL3003,DL,warning,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL4006,DL,warning,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL4001,DL,warning,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL3020,DL,error,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL3020,DL,error,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL4006,DL,warning,2021,2725,39,Organization,Ruby,26952
codeforamerica/vita-min,DL3020,DL,error,2021,2725,39,Organization,Ruby,26952
codeforamerica/ohana-web-search,DL3008,DL,warning,2021,818,17,Organization,SCSS,20066
codeforamerica/ohana-web-search,DL3014,DL,warning,2021,818,17,Organization,SCSS,20066
codeforamerica/ohana-web-search,DL4006,DL,warning,2021,818,17,Organization,SCSS,20066
codeforamerica/ohana-web-search,DL3008,DL,warning,2021,818,17,Organization,SCSS,20066
codeforamerica/ohana-web-search,DL3008,DL,warning,2021,818,17,Organization,SCSS,20066
